defect_type,defect_size_mm,machine_id,machine_age_years,days_since_maintenance,shift,operator_experience_years,production_speed_mpm,thread_tension_n,humidity_pct,temperature_c,fabric_batch_quality_score,root_cause
cut,23.0,M08,13.4,14,afternoon,0.2,29.0,12.25,60.7,19.1,79.0,human_error
hole,13.7,M12,14.8,28,afternoon,5.7,27.5,9.53,65.3,25.1,74.1,machine_fault
oil_spot,1.7,M11,9.0,18,afternoon,7.5,31.5,9.29,35.5,25.9,90.8,material_issue
objects,6.1,M11,1.1,14,morning,0.3,37.3,13.03,60.8,20.4,78.7,human_error
oil_spot,11.5,M11,1.4,31,afternoon,1.5,33.6,8.88,45.1,21.4,75.6,material_issue
cut,2.8,M01,2.2,40,night,0.3,37.9,11.7,57.8,22.0,56.3,human_error
cut,2.4,M10,12.5,23,afternoon,1.1,33.5,16.19,66.1,22.1,80.6,human_error
thread_error,1.8,M11,10.0,31,morning,12.3,31.3,13.96,62.0,23.0,100.0,machine_fault
cut,5.4,M04,3.6,16,afternoon,3.6,35.6,11.44,70.9,24.3,88.7,material_issue
cut,8.6,M04,11.3,40,morning,4.3,29.3,13.49,46.1,23.1,94.1,machine_fault
stain,12.4,M09,12.6,30,morning,1.1,49.2,12.87,58.8,26.6,57.4,material_issue
oil_spot,37.9,M06,4.1,6,afternoon,0.7,35.8,13.87,21.2,22.8,69.3,material_issue
thread_error,3.9,M09,0.8,51,morning,3.4,38.0,12.91,44.7,27.9,77.4,machine_fault
hole,3.1,M04,11.8,31,morning,3.0,36.1,12.14,64.2,22.7,75.6,machine_fault
thread_error,19.6,M12,5.6,1,night,5.2,36.9,13.04,61.4,26.1,58.9,machine_fault
color_defect,5.2,M10,8.4,6,morning,3.0,38.6,10.75,87.3,22.3,68.5,material_issue
objects,1.2,M09,3.5,56,afternoon,0.2,33.6,11.79,53.2,21.1,59.6,human_error
cut,7.7,M07,5.8,5,morning,5.2,30.8,11.79,56.2,25.1,70.6,human_error
hole,10.1,M01,14.5,9,afternoon,4.4,38.8,14.94,43.8,28.4,53.9,human_error
hole,7.3,M01,5.3,12,morning,0.2,26.7,9.38,52.2,21.2,67.3,human_error
stain,2.7,M05,13.2,11,morning,1.9,28.5,13.96,36.4,23.0,61.9,material_issue
color_defect,7.5,M07,14.3,18,night,2.0,38.0,12.81,48.4,24.8,80.3,human_error
oil_spot,1.2,M07,7.8,18,morning,6.1,37.9,8.94,32.9,21.5,96.6,material_issue
objects,4.6,M10,6.1,45,morning,1.4,19.8,13.35,51.7,15.8,76.1,machine_fault
thread_error,11.1,M07,2.3,5,morning,1.8,45.3,10.82,55.3,17.9,55.2,human_error
objects,1.8,M02,13.3,16,afternoon,8.3,38.1,15.03,50.1,28.7,64.4,machine_fault
cut,4.9,M06,9.0,18,night,2.8,49.3,12.19,84.7,23.9,71.8,human_error
cut,3.3,M08,7.5,8,afternoon,0.8,45.5,9.73,46.5,21.5,64.3,human_error
objects,6.1,M12,9.1,9,afternoon,3.4,52.9,11.73,57.0,20.0,48.4,human_error
oil_spot,2.0,M06,11.3,13,morning,0.6,27.8,14.09,68.4,22.6,54.1,material_issue
color_defect,1.3,M06,1.3,18,morning,5.7,40.2,10.47,62.3,21.5,88.3,material_issue
thread_error,6.1,M01,9.8,3,night,4.9,41.0,13.81,40.5,27.0,60.0,machine_fault
objects,1.7,M07,1.6,50,afternoon,2.0,52.8,13.52,52.6,23.8,68.7,human_error
cut,2.4,M03,14.0,15,afternoon,9.1,31.7,10.64,30.8,24.4,79.5,material_issue
thread_error,5.4,M01,14.2,9,morning,2.0,31.7,10.65,47.4,24.5,100.0,machine_fault
color_defect,17.2,M11,5.5,0,morning,8.8,28.4,13.1,65.9,24.6,63.0,material_issue
cut,1.6,M09,14.0,53,morning,10.2,12.8,17.18,49.3,31.3,80.7,material_issue
thread_error,2.2,M08,1.8,2,night,4.0,27.8,9.59,37.7,29.1,64.7,material_issue
cut,6.4,M02,10.6,31,morning,5.3,40.4,14.32,62.8,20.1,58.1,machine_fault
thread_error,1.9,M12,11.8,16,night,2.4,42.3,13.67,68.9,23.9,41.2,machine_fault
thread_error,9.7,M11,5.7,3,afternoon,12.9,45.2,15.85,44.7,24.3,85.1,machine_fault
objects,3.5,M08,14.9,17,morning,2.5,35.1,16.39,45.2,23.2,61.6,human_error
hole,6.7,M01,12.0,5,morning,6.1,28.0,13.44,46.7,27.3,62.5,machine_fault
color_defect,8.5,M12,8.9,20,morning,5.3,31.9,11.99,68.7,25.1,63.8,human_error
thread_error,5.9,M06,7.5,12,afternoon,3.2,42.2,12.81,54.7,29.0,100.0,machine_fault
color_defect,3.2,M02,3.5,17,morning,1.2,27.3,11.06,47.5,26.6,64.3,human_error
oil_spot,7.3,M12,1.1,4,night,0.4,32.9,12.73,56.4,27.4,86.4,human_error
hole,6.7,M12,9.1,40,morning,2.7,34.7,13.41,45.8,20.2,76.5,machine_fault
color_defect,5.3,M06,1.4,18,morning,6.4,42.0,12.83,51.2,24.7,94.7,material_issue
stain,22.4,M04,5.6,8,morning,1.1,41.7,12.57,43.7,22.3,82.5,material_issue
oil_spot,5.2,M12,7.5,18,morning,2.6,28.5,16.75,48.7,29.8,56.3,human_error
oil_spot,8.9,M12,11.0,6,afternoon,19.4,31.5,14.0,53.1,18.3,49.3,material_issue
objects,7.5,M12,11.8,13,night,0.8,33.4,12.86,53.3,21.2,54.8,human_error
color_defect,19.3,M09,1.6,16,afternoon,0.1,28.7,9.6,58.4,21.5,62.8,human_error
stain,2.4,M03,0.9,11,afternoon,1.5,23.5,11.49,42.6,27.0,83.7,material_issue
cut,19.8,M01,7.0,21,night,1.2,51.9,12.44,34.5,25.2,67.1,human_error
hole,47.0,M08,0.9,50,afternoon,0.9,23.3,12.72,57.7,19.7,94.3,human_error
objects,23.7,M08,9.6,5,afternoon,6.6,34.5,12.27,40.4,24.4,61.6,machine_fault
color_defect,2.4,M03,10.6,43,afternoon,4.1,48.6,9.75,48.5,16.7,69.1,human_error
stain,23.8,M01,2.2,3,morning,9.9,29.4,14.75,57.6,21.7,78.2,material_issue
cut,5.4,M04,13.5,17,afternoon,5.0,26.7,7.86,53.0,25.1,89.2,human_error
oil_spot,7.0,M01,11.7,6,morning,1.5,30.8,12.44,41.6,23.9,68.5,human_error
hole,14.4,M05,2.0,23,morning,0.4,38.5,12.72,65.5,25.9,76.4,human_error
objects,3.4,M07,13.9,2,morning,0.1,28.0,10.22,54.9,22.1,62.8,machine_fault
objects,5.0,M07,2.8,22,night,0.8,27.9,12.95,40.5,23.9,65.9,human_error
hole,4.3,M04,10.6,55,morning,0.8,46.6,16.21,52.8,24.0,86.0,machine_fault
stain,6.2,M08,10.1,93,night,5.5,37.8,11.32,66.9,24.2,68.0,material_issue
stain,25.0,M07,13.4,12,night,7.4,35.5,16.64,72.6,26.8,86.3,material_issue
stain,2.1,M08,8.4,42,afternoon,0.3,38.7,14.27,59.0,22.9,83.3,human_error
thread_error,4.8,M07,6.9,1,night,8.1,28.9,13.61,69.3,28.0,80.1,machine_fault
cut,7.1,M09,13.7,34,afternoon,2.0,29.8,8.68,42.6,24.6,84.9,human_error
oil_spot,1.0,M12,12.3,7,afternoon,5.6,46.0,11.56,66.5,22.9,100.0,material_issue
stain,2.0,M02,9.4,33,afternoon,6.2,27.8,13.98,41.3,23.4,70.9,material_issue
cut,12.2,M08,10.8,7,morning,0.1,42.0,11.71,43.5,22.2,65.0,human_error
objects,11.5,M04,6.0,17,morning,0.3,49.4,10.41,32.9,29.3,82.7,machine_fault
objects,29.2,M01,3.1,16,afternoon,0.5,25.0,11.67,81.7,22.5,58.7,material_issue
objects,1.2,M03,12.4,9,morning,1.8,35.8,8.27,67.8,25.8,66.0,human_error
objects,1.1,M09,1.9,10,morning,4.6,27.1,11.05,40.6,22.0,72.0,human_error
thread_error,3.6,M09,3.2,30,night,6.8,28.5,15.0,61.9,23.8,86.9,machine_fault
objects,2.5,M09,10.9,16,night,2.2,34.1,8.73,59.2,19.4,73.7,human_error
cut,21.4,M03,2.7,8,morning,5.1,34.6,9.82,57.0,27.4,72.5,human_error
color_defect,9.5,M08,10.1,1,night,0.6,40.9,15.32,49.6,22.7,71.7,human_error
oil_spot,3.4,M02,5.8,39,afternoon,1.0,28.1,13.23,64.3,20.8,64.4,material_issue
objects,6.1,M04,10.3,30,afternoon,1.8,19.2,8.99,49.0,20.2,100.0,machine_fault
stain,1.8,M09,12.1,22,afternoon,1.2,33.6,10.83,78.0,22.8,82.0,material_issue
cut,24.4,M01,2.0,7,morning,11.4,25.8,8.9,60.2,27.0,88.6,human_error
objects,2.4,M07,1.3,4,night,3.1,45.7,10.44,51.2,24.0,88.5,human_error
hole,16.6,M04,10.5,16,morning,4.2,36.6,14.82,38.9,27.1,64.5,human_error
oil_spot,5.0,M01,13.7,4,night,4.9,35.6,13.27,57.2,21.7,59.3,human_error
objects,31.0,M05,14.1,27,morning,5.8,45.6,7.97,72.9,23.2,57.8,material_issue
oil_spot,6.5,M07,6.9,4,afternoon,0.7,50.5,13.74,48.3,22.1,69.0,human_error
objects,19.9,M03,5.9,33,afternoon,0.5,24.3,10.35,69.7,24.2,46.8,human_error
oil_spot,1.5,M01,7.3,24,night,4.3,30.2,14.31,40.5,26.5,76.9,material_issue
color_defect,6.0,M07,5.9,26,afternoon,4.0,37.2,15.82,44.6,24.2,92.4,human_error
color_defect,6.9,M08,3.9,8,morning,1.6,39.8,11.87,62.5,23.1,65.0,material_issue
stain,23.3,M03,14.0,4,night,6.8,40.1,11.28,58.3,19.4,59.6,machine_fault
cut,12.6,M07,4.1,26,morning,1.7,35.9,14.13,59.2,23.3,89.1,human_error
hole,11.1,M08,13.4,14,night,3.9,31.7,12.21,55.2,18.6,100.0,machine_fault
stain,7.3,M05,1.2,13,morning,1.9,30.8,11.56,57.2,24.0,90.8,material_issue
stain,12.1,M03,4.5,3,morning,3.5,28.2,15.83,17.8,23.6,97.9,material_issue
color_defect,15.5,M05,11.1,1,night,3.1,43.8,9.25,54.7,22.2,56.3,human_error
thread_error,1.2,M07,12.8,7,afternoon,1.6,43.7,9.91,56.4,29.0,77.4,machine_fault
objects,8.7,M12,0.9,9,morning,6.8,31.8,13.19,67.1,26.8,71.1,human_error
stain,16.3,M03,14.2,10,afternoon,0.5,53.1,14.04,54.0,24.8,74.7,human_error
stain,7.4,M11,10.4,31,morning,5.1,28.8,12.56,46.7,25.3,42.6,material_issue
hole,4.9,M07,6.3,39,morning,1.2,28.9,15.29,49.6,26.7,73.1,machine_fault
color_defect,21.8,M03,12.5,24,night,6.7,36.7,10.95,50.8,24.1,78.7,machine_fault
color_defect,4.0,M04,9.5,11,afternoon,1.6,44.8,13.56,74.4,23.4,76.9,material_issue
stain,20.0,M06,7.2,2,morning,12.2,28.2,12.6,55.9,27.5,68.2,material_issue
hole,4.2,M06,4.4,59,morning,4.9,43.9,10.48,52.8,27.8,69.5,machine_fault
cut,5.4,M02,6.8,18,night,5.3,48.8,13.81,55.1,25.3,71.0,human_error
objects,3.0,M06,1.3,33,afternoon,12.8,33.7,11.76,44.6,24.0,66.2,machine_fault
cut,19.9,M07,9.5,24,night,8.4,41.5,12.74,33.8,24.8,76.7,machine_fault
objects,4.9,M08,14.2,61,night,3.3,42.1,12.88,62.2,27.8,72.8,machine_fault
oil_spot,4.4,M07,6.7,6,afternoon,0.2,38.6,10.39,48.1,22.0,69.1,human_error
cut,23.6,M09,2.0,93,morning,0.4,23.3,14.83,61.1,26.4,94.4,human_error
cut,6.2,M10,8.4,7,afternoon,4.1,27.3,12.48,28.7,22.9,87.4,material_issue
cut,1.7,M10,4.1,11,afternoon,0.7,42.1,14.75,82.3,28.5,72.7,human_error
thread_error,3.0,M06,4.1,8,afternoon,2.7,35.7,11.17,64.0,23.5,100.0,human_error
color_defect,2.1,M03,7.0,22,morning,2.1,34.2,13.66,62.3,28.9,82.4,human_error
oil_spot,1.2,M01,6.7,33,morning,7.6,27.3,12.91,41.7,25.6,57.1,material_issue
stain,4.7,M08,4.1,23,afternoon,1.8,37.6,14.12,42.9,26.9,72.9,material_issue
oil_spot,4.9,M07,6.7,2,morning,0.1,35.5,14.37,46.0,21.5,93.5,human_error
stain,22.8,M04,10.4,2,morning,5.6,28.6,15.62,49.8,19.6,77.9,material_issue
oil_spot,21.8,M05,2.4,0,night,3.2,33.3,13.38,43.5,19.0,83.4,human_error
stain,1.5,M05,14.7,58,night,12.1,42.5,9.4,74.5,25.4,62.7,material_issue
color_defect,25.9,M06,14.6,21,afternoon,1.3,25.2,15.55,67.5,27.5,38.1,material_issue
oil_spot,9.7,M03,3.6,35,night,4.0,40.3,13.94,50.6,22.6,51.1,human_error
thread_error,7.3,M06,6.8,52,afternoon,1.7,34.5,13.06,47.3,22.4,93.0,machine_fault
stain,6.0,M06,1.2,1,night,6.9,42.3,13.2,61.6,24.9,69.9,material_issue
color_defect,2.5,M04,4.9,19,morning,0.2,39.8,16.65,52.4,23.2,84.2,human_error
hole,3.3,M01,10.3,36,morning,3.8,30.9,12.52,38.5,25.4,63.9,material_issue
color_defect,3.5,M04,13.6,5,afternoon,0.8,38.2,6.29,56.0,23.5,94.0,human_error
cut,25.5,M03,10.8,84,afternoon,1.3,30.8,9.55,39.8,24.5,97.6,human_error
thread_error,6.5,M06,11.3,20,morning,2.8,45.4,8.32,49.9,22.5,75.2,human_error
thread_error,13.9,M12,5.3,16,afternoon,2.6,25.9,12.2,81.4,25.9,76.9,machine_fault
stain,39.0,M10,5.7,38,morning,0.7,33.0,9.55,64.1,27.7,74.5,material_issue
color_defect,17.6,M01,1.2,10,afternoon,13.5,48.5,15.08,66.5,26.3,55.6,material_issue
stain,4.0,M11,14.3,3,afternoon,3.5,42.5,10.82,64.5,26.8,80.5,material_issue
cut,3.7,M09,5.4,9,night,0.0,34.9,12.41,53.8,25.3,63.1,human_error
stain,2.8,M06,7.9,20,afternoon,2.6,38.3,14.48,62.1,25.9,83.0,material_issue
hole,2.0,M04,12.6,4,night,1.0,38.6,11.44,53.1,23.0,89.9,human_error
color_defect,13.8,M05,3.7,3,morning,2.5,35.6,7.89,39.6,22.5,65.6,material_issue
color_defect,1.7,M01,1.2,59,afternoon,1.5,41.6,10.97,60.9,25.4,68.6,human_error
oil_spot,1.1,M10,9.9,5,afternoon,2.6,36.2,11.69,68.3,24.2,63.8,material_issue
stain,3.4,M05,2.5,29,night,6.1,30.9,13.94,27.4,18.3,59.5,material_issue
color_defect,4.9,M07,8.0,17,morning,1.0,31.9,8.25,55.5,26.4,65.8,human_error
stain,10.9,M12,8.8,76,night,0.2,27.8,15.09,66.9,28.6,92.7,human_error
stain,50.8,M07,14.5,9,morning,2.4,46.2,12.51,46.6,27.0,95.8,human_error
cut,2.4,M12,7.9,5,night,16.0,30.5,14.42,37.6,22.4,100.0,human_error
objects,1.1,M08,0.5,32,night,14.0,38.1,16.37,75.5,26.5,88.2,machine_fault
thread_error,5.7,M04,10.5,4,morning,3.8,47.8,12.28,48.7,24.8,60.8,machine_fault
hole,31.7,M10,3.9,11,afternoon,0.6,40.3,13.1,50.5,24.4,100.0,human_error
thread_error,9.8,M10,12.6,13,morning,0.6,49.3,11.76,62.9,21.3,90.0,human_error
stain,11.7,M12,12.9,1,morning,1.1,32.4,13.89,62.3,21.4,57.9,material_issue
objects,4.8,M09,7.4,123,afternoon,5.2,27.1,13.61,55.9,21.9,86.7,machine_fault
objects,3.8,M02,14.2,7,morning,2.6,33.8,13.96,48.1,22.6,96.0,machine_fault
color_defect,32.6,M12,13.9,16,afternoon,4.0,35.0,12.04,32.3,21.0,54.6,material_issue
cut,38.4,M05,13.2,9,afternoon,9.2,45.2,11.04,76.0,22.2,45.5,material_issue
stain,7.7,M03,10.7,9,night,1.8,45.2,10.56,67.3,23.9,53.1,material_issue
objects,20.2,M06,5.3,0,morning,1.5,32.0,11.31,58.2,23.2,72.4,human_error
oil_spot,3.9,M11,14.7,57,morning,14.3,33.8,13.33,40.1,26.6,78.2,material_issue
objects,6.0,M07,12.5,18,afternoon,2.9,28.2,6.41,38.1,17.1,100.0,human_error
stain,6.5,M05,10.7,2,morning,5.8,34.9,17.25,51.8,14.1,44.5,material_issue
color_defect,27.5,M01,6.5,9,afternoon,2.4,37.7,13.65,58.6,25.7,76.2,human_error
cut,4.6,M04,8.1,20,morning,5.0,27.0,8.99,39.0,19.1,78.5,human_error
thread_error,2.0,M11,5.2,19,morning,3.9,52.1,15.6,46.1,23.6,78.7,human_error
stain,7.0,M03,11.3,6,afternoon,0.8,35.4,16.2,59.0,19.4,90.3,human_error
color_defect,4.9,M10,10.3,2,night,1.2,45.8,8.46,55.0,23.9,79.7,human_error
stain,12.9,M07,12.5,6,afternoon,14.2,27.8,10.8,25.8,24.7,75.4,material_issue
cut,7.3,M01,1.5,0,morning,2.0,21.0,12.58,66.8,26.7,62.5,human_error
thread_error,3.3,M09,9.5,3,morning,0.0,34.0,16.63,55.6,24.3,87.1,human_error
thread_error,2.3,M07,1.2,21,morning,6.5,33.2,11.53,33.8,24.1,79.8,machine_fault
cut,7.9,M12,13.1,30,afternoon,0.4,27.7,15.48,41.3,22.0,56.6,human_error
oil_spot,7.8,M09,6.3,34,night,0.8,41.7,10.47,58.6,25.9,75.8,human_error
color_defect,15.6,M04,3.9,29,morning,2.3,29.0,13.03,70.5,25.3,79.6,human_error
hole,5.4,M05,14.6,16,morning,0.6,33.3,13.67,64.6,22.7,57.7,human_error
cut,1.5,M12,11.4,7,night,4.4,20.2,9.78,66.9,25.8,81.1,human_error
stain,9.7,M06,11.3,36,morning,0.4,47.4,12.22,71.3,28.3,63.3,material_issue
color_defect,2.3,M09,13.5,6,morning,0.1,36.1,12.83,45.7,23.0,68.0,material_issue
hole,16.1,M02,8.7,2,night,5.0,39.0,8.68,46.4,24.0,75.2,human_error
stain,2.0,M04,9.9,26,night,21.0,39.5,14.74,62.5,21.3,71.7,material_issue
cut,10.5,M11,6.6,3,afternoon,4.7,34.7,15.58,51.4,20.5,68.7,human_error
oil_spot,24.4,M08,3.4,0,morning,1.8,40.2,12.24,49.4,24.4,62.5,material_issue
cut,5.2,M06,10.3,43,night,3.4,29.5,11.1,52.9,21.0,75.0,human_error
hole,34.0,M11,9.4,56,night,7.1,30.5,9.38,66.0,23.9,81.4,machine_fault
color_defect,8.6,M02,10.5,21,afternoon,10.4,34.7,8.09,38.7,26.3,72.3,material_issue
cut,31.4,M03,9.8,10,afternoon,3.2,28.5,6.19,60.7,20.1,68.8,human_error
cut,2.2,M06,3.8,47,afternoon,2.3,42.5,11.49,66.6,22.9,79.8,human_error
cut,13.2,M05,5.9,32,afternoon,0.4,33.8,10.48,40.9,23.9,68.9,human_error
oil_spot,14.6,M05,1.2,5,morning,7.2,45.5,10.27,72.3,23.1,80.0,material_issue
stain,23.2,M06,8.3,92,afternoon,1.6,39.1,13.57,48.9,26.5,88.7,material_issue
thread_error,24.7,M05,3.9,33,morning,7.2,44.2,10.96,46.7,18.2,65.1,human_error
cut,2.5,M09,13.8,19,night,3.5,38.1,6.94,53.5,23.4,85.7,human_error
stain,1.8,M03,10.0,18,afternoon,1.3,45.2,11.0,64.5,26.6,65.8,human_error
oil_spot,38.2,M08,5.8,5,afternoon,9.8,20.7,10.57,58.6,24.0,69.6,material_issue
objects,10.6,M07,6.1,2,morning,8.8,28.3,14.36,71.2,19.4,76.5,machine_fault
thread_error,4.9,M09,4.7,7,afternoon,8.7,41.9,15.02,53.9,24.0,90.9,human_error
color_defect,16.5,M09,1.4,41,afternoon,1.9,20.6,12.63,39.4,21.5,85.3,material_issue
stain,13.5,M04,14.8,7,morning,18.3,38.0,10.67,55.2,26.2,72.0,material_issue
color_defect,7.9,M04,1.4,12,morning,11.8,28.9,11.33,61.0,20.8,68.1,material_issue
thread_error,5.4,M12,6.8,2,afternoon,7.3,46.3,13.83,60.7,23.5,65.6,machine_fault
objects,5.7,M06,10.0,5,afternoon,1.8,31.6,12.84,48.2,17.5,50.0,human_error
objects,2.5,M06,1.5,0,night,2.1,44.6,11.73,73.4,28.6,87.7,human_error
hole,7.3,M08,10.3,1,morning,2.8,35.6,12.59,67.8,28.5,59.7,machine_fault
color_defect,2.8,M02,5.7,1,night,0.5,38.9,11.24,41.5,23.8,61.5,human_error
objects,3.1,M11,9.3,4,morning,7.5,45.0,11.85,41.5,20.2,86.8,machine_fault
hole,9.3,M07,6.4,0,afternoon,1.4,31.2,5.04,54.7,21.8,100.0,machine_fault
cut,12.6,M09,10.0,103,afternoon,3.7,21.5,9.97,32.6,23.9,67.7,human_error
objects,1.5,M04,7.7,5,afternoon,2.2,32.2,8.58,48.5,24.6,86.0,machine_fault
thread_error,1.9,M08,13.6,50,afternoon,2.6,35.6,10.56,71.9,22.6,99.9,machine_fault
stain,9.9,M12,8.8,22,morning,1.8,44.1,9.51,62.4,24.4,94.8,material_issue
stain,6.4,M03,5.4,5,afternoon,8.7,25.3,8.28,55.6,27.4,91.9,material_issue
thread_error,9.3,M09,7.7,67,night,7.6,35.5,11.93,44.2,28.8,78.7,machine_fault
objects,22.7,M01,4.8,17,morning,1.2,44.6,13.01,51.8,22.6,83.9,human_error
objects,15.2,M09,10.8,2,afternoon,2.8,28.5,14.46,44.3,20.8,90.5,material_issue
hole,6.3,M07,4.8,0,afternoon,3.9,24.7,15.7,63.1,21.3,70.1,machine_fault
hole,2.5,M10,2.5,4,afternoon,14.8,40.1,18.3,48.6,24.7,82.6,machine_fault
hole,9.0,M01,6.2,5,morning,3.4,51.4,11.11,56.4,25.0,91.9,human_error
stain,1.7,M06,14.8,19,night,0.2,41.4,12.31,45.6,22.6,92.3,human_error
stain,1.0,M03,1.0,11,afternoon,1.4,39.9,12.14,41.5,20.7,100.0,material_issue
cut,3.8,M12,7.0,15,afternoon,0.8,37.5,15.78,57.3,23.7,81.7,human_error
oil_spot,2.4,M06,14.7,7,morning,2.1,42.7,11.82,33.9,25.5,75.6,material_issue
hole,15.8,M09,6.0,1,afternoon,5.6,24.9,10.33,43.7,25.1,61.6,material_issue
thread_error,4.0,M10,1.3,3,night,4.7,35.1,9.22,46.9,26.0,83.0,human_error
stain,5.8,M06,10.4,18,afternoon,8.8,24.5,12.39,58.1,26.1,95.3,material_issue
cut,10.7,M04,4.9,12,morning,10.4,54.1,12.57,62.9,19.2,78.9,material_issue
hole,1.3,M05,11.5,17,morning,8.4,30.5,13.57,36.7,24.5,85.0,machine_fault
stain,4.1,M12,10.5,6,afternoon,2.2,52.0,12.37,46.2,24.3,72.3,material_issue
stain,10.4,M09,3.8,11,night,0.3,38.1,11.73,40.9,22.6,69.9,human_error
oil_spot,7.5,M07,13.0,54,night,4.2,27.3,11.59,84.1,23.8,91.7,machine_fault
objects,2.3,M04,13.4,10,morning,0.2,41.8,8.44,76.8,27.4,70.8,human_error
oil_spot,10.5,M07,12.3,21,afternoon,1.3,29.4,9.65,61.4,27.6,82.3,material_issue
color_defect,10.4,M05,2.7,58,afternoon,10.4,45.0,9.64,82.8,23.1,82.8,material_issue
stain,9.3,M12,11.0,16,afternoon,2.2,33.5,10.89,64.3,28.3,83.4,material_issue
color_defect,19.9,M07,6.1,8,afternoon,7.8,46.7,9.84,48.4,25.8,90.8,material_issue
objects,14.6,M12,4.9,19,afternoon,0.5,33.7,13.14,57.5,29.5,83.1,machine_fault
objects,10.8,M05,5.0,37,morning,0.1,28.5,10.48,37.7,24.1,63.4,human_error
hole,30.3,M10,2.6,39,night,0.1,37.4,9.7,66.5,24.9,49.3,human_error
hole,1.2,M04,6.0,18,afternoon,4.0,24.2,9.29,43.2,24.9,74.2,machine_fault
objects,2.8,M06,13.7,31,morning,10.4,30.7,11.47,79.4,22.7,59.4,material_issue
cut,6.9,M12,1.3,13,afternoon,4.6,34.0,10.39,46.7,24.4,80.8,human_error
objects,6.3,M04,0.7,137,afternoon,0.8,41.4,8.31,62.8,26.7,69.6,machine_fault
oil_spot,8.4,M11,14.3,0,afternoon,4.2,27.9,13.37,56.0,25.0,78.4,material_issue
color_defect,2.2,M11,4.4,24,night,4.6,26.4,13.77,84.2,28.1,77.4,human_error
objects,2.3,M09,13.1,17,night,3.4,34.8,11.92,56.0,23.4,49.7,machine_fault
stain,9.7,M03,14.7,39,night,1.3,40.8,12.45,53.1,23.6,65.1,human_error
thread_error,1.9,M03,1.8,24,afternoon,0.8,34.4,11.02,75.1,26.0,81.5,material_issue
objects,11.3,M05,4.1,61,afternoon,0.6,37.4,10.01,44.5,23.6,87.0,machine_fault
thread_error,1.0,M04,6.3,36,morning,0.0,34.9,6.48,49.4,22.6,81.8,machine_fault
oil_spot,12.1,M03,3.0,27,night,0.6,34.8,13.89,72.4,27.9,57.7,human_error
thread_error,8.5,M08,9.7,17,afternoon,0.1,52.7,14.84,47.6,22.1,89.3,human_error
color_defect,11.0,M12,13.3,0,morning,1.6,31.2,9.56,62.3,31.7,91.9,human_error
oil_spot,2.5,M01,12.1,2,night,0.5,36.7,15.25,73.4,28.5,63.0,human_error
thread_error,1.1,M05,9.0,12,afternoon,6.8,31.8,11.77,40.9,25.4,80.0,machine_fault
cut,12.0,M08,12.0,8,morning,2.4,37.3,13.56,66.6,24.5,57.9,human_error
objects,10.0,M10,1.4,41,afternoon,1.6,24.7,9.6,30.9,22.4,97.7,machine_fault
hole,3.6,M09,4.6,49,afternoon,4.2,29.4,10.8,60.1,28.3,81.4,machine_fault
cut,25.2,M02,6.7,2,night,3.0,23.7,14.51,67.4,23.4,76.9,human_error
color_defect,2.4,M05,13.6,7,afternoon,5.3,35.9,9.4,47.7,25.8,100.0,human_error
stain,2.7,M07,6.4,50,night,2.6,23.8,9.19,58.9,18.9,65.9,human_error
cut,9.7,M01,7.7,7,night,0.4,32.5,14.37,59.3,25.8,80.2,human_error
hole,32.9,M01,12.8,5,morning,7.6,40.5,9.99,69.9,21.7,54.9,machine_fault
thread_error,3.1,M05,8.6,21,night,7.5,38.5,8.16,68.0,26.4,92.5,machine_fault
cut,12.5,M11,4.4,4,night,4.8,34.9,9.47,41.2,23.7,67.1,human_error
oil_spot,8.7,M09,13.3,2,morning,11.3,28.9,12.69,64.7,30.5,83.7,material_issue
color_defect,16.6,M11,9.5,26,morning,2.8,36.5,12.08,38.1,25.3,93.5,material_issue
hole,4.8,M07,10.3,16,morning,3.4,31.8,7.96,47.3,22.9,88.0,machine_fault
hole,6.1,M08,2.5,19,afternoon,1.0,44.0,11.8,49.5,24.5,75.8,machine_fault
objects,19.1,M09,14.3,38,afternoon,8.2,40.3,10.4,60.8,22.6,62.8,machine_fault
oil_spot,10.6,M08,14.7,29,night,8.1,32.3,12.46,71.3,23.9,61.7,material_issue
thread_error,17.2,M04,1.2,0,afternoon,0.4,38.4,11.08,78.2,27.1,81.8,human_error
stain,2.4,M06,9.0,19,afternoon,13.7,38.5,9.15,48.5,22.2,84.1,material_issue
objects,4.1,M03,9.4,18,afternoon,2.6,44.9,16.56,65.5,23.1,58.7,machine_fault
color_defect,3.5,M05,8.5,6,night,9.5,36.0,15.05,43.5,26.1,82.2,human_error
cut,2.6,M08,12.6,6,afternoon,2.6,35.7,7.37,60.3,20.8,80.1,human_error
objects,2.9,M04,6.0,28,morning,0.6,28.4,11.29,48.3,24.4,81.0,machine_fault
stain,2.5,M09,12.8,0,night,0.9,34.5,7.4,68.5,15.7,45.2,human_error
color_defect,9.6,M08,13.7,24,morning,7.3,34.9,12.7,55.6,25.4,45.0,material_issue
hole,1.1,M06,8.5,6,night,1.4,27.6,11.65,74.0,25.1,67.3,human_error
thread_error,1.1,M07,14.4,9,afternoon,1.8,37.5,12.16,53.2,16.3,68.4,machine_fault
objects,2.0,M01,0.8,8,night,22.7,51.7,15.34,76.9,25.0,100.0,material_issue
